family,genus,keyword,action,video_id
canidae,canis,wolf,eat,yZhlTF3PxUE
canidae,canis,wolf,eat,5EAQxnIHUCU
canidae,canis,wolf,eat,hrWd_-jDVB0
canidae,canis,wolf,eat,d62GoV0Ilbk
canidae,canis,wolf,eat,rCtgLOE1IP0
canidae,canis,wolf,eat,HeQeMuwZGHI
canidae,canis,wolf,eat,kuo6VfQ0U-Y
canidae,canis,wolf,eat,gjZhXscpUBQ
canidae,canis,wolf,eat,AFXe3QXzMOQ
canidae,canis,wolf,eat,-TzL8hDWNJQ
canidae,canis,wolf,eat,qxXdtnifgbc
canidae,canis,wolf,eat,clFia9rXu1I
canidae,canis,wolf,eat,efrTgJeFX94
canidae,canis,wolf,eat,2c44jJfDVl0
canidae,canis,wolf,eat,Eo6tSJ3xSMU
canidae,canis,wolf,eat,VgezSVwfhSg
canidae,canis,wolf,eat,HuKGPu_9IWk
canidae,canis,wolf,eat,OIFk4WI-5G4
canidae,canis,wolf,eat,i_ItZISefa0
canidae,canis,wolf,eat,uCOTLyKhsMg
canidae,canis,wolf,eat,AqSUK-3ydwY
canidae,canis,wolf,eat,pqRBeurmCNQ
canidae,canis,wolf,eat,WvoFWxvze3Q
canidae,canis,wolf,eat,8nJsOyXocd0
canidae,canis,wolf,eat,pbcD-cuobSE
canidae,canis,wolf,eat,0aKIeVr0n_E
canidae,canis,wolf,eat,_btsSjYpa9E
canidae,canis,wolf,eat,VoU5RgT9n1M
canidae,canis,wolf,eat,z1auge3rihc
canidae,canis,wolf,eat,aW5lLV9qTHU
canidae,canis,wolf,eat,w9N4HTVKYw8
canidae,canis,wolf,eat,61ucmUqIU5I
canidae,canis,wolf,eat,TKKx8q-WShY
canidae,canis,wolf,eat,jztbUlGJkec
canidae,canis,wolf,eat,7H0jaWZdLCs
canidae,canis,wolf,eat,36kJX2kqAj0
canidae,canis,wolf,eat,Xo8RPlTrl-E
canidae,canis,wolf,eat,kszZ6H9wMIU
canidae,canis,wolf,eat,7K9Gk-NtLhI
canidae,canis,wolf,eat,_LP8G1auL7c
canidae,canis,wolf,eat,qdhrfwZX2iA
canidae,canis,wolf,eat,IuesViGwChs
canidae,canis,wolf,eat,QjGxLFa6wHg
canidae,canis,wolf,eat,wwPPsT-xgjg
canidae,canis,wolf,eat,27-MiUC8rsk
canidae,canis,wolf,eat,2j1svfvijPQ
canidae,canis,wolf,eat,0X6MVjQ7TyY
canidae,canis,wolf,eat,nqDY9hr6n3M
canidae,canis,wolf,eat,Ti5ixifQGio
canidae,canis,wolf,eat,FbZ6HdMlz8A
canidae,canis,wolf,eat,gnTn4iWA_os
canidae,canis,wolf,eat,N2lNelDyQbI
canidae,canis,wolf,eat,p8H5ixHT5kY
canidae,canis,wolf,eat,0Xx79TqvAmg
canidae,canis,wolf,eat,TD4ix_WoWec
canidae,canis,wolf,eat,HCP484LWsj8
canidae,canis,wolf,eat,Gi1qG-RlJmA
canidae,canis,wolf,eat,SYJCM9rUAQs
canidae,canis,wolf,eat,Sn807Vasc9E
canidae,canis,wolf,eat,-pbPgOKDy-Y
canidae,canis,wolf,eat,xk5JyH6VQDE
canidae,canis,wolf,eat,VGv1T9NUudc
canidae,canis,wolf,eat,GdhiA-TfMd4
canidae,canis,wolf,eat,qFjV7-CGH0Q
canidae,canis,wolf,eat,3-sqWc-7lvY
canidae,canis,wolf,eat,DSgPX0xcmM0
canidae,canis,wolf,eat,5oNEHyetKAc
canidae,canis,wolf,eat,aX0OkhD87KU
canidae,canis,wolf,eat,3XFSm92RPmY
canidae,canis,wolf,eat,Kw6oaTba4Ec
canidae,canis,wolf,eat,XHXiDbo-n6E
canidae,canis,wolf,eat,q5bTsLBoDbo
canidae,canis,wolf,eat,6jG3cWOFTIw
canidae,canis,wolf,eat,nnyaNATWHeg
canidae,canis,wolf,eat,OQKPE9BszTc
canidae,canis,wolf,eat,XW51r5Br_lc
canidae,canis,wolf,eat,3GGmVPNgTjw
canidae,canis,wolf,eat,qufYsoJd8Zo
canidae,canis,wolf,eat,1TFmzppww4k
canidae,canis,wolf,eat,rQcYDfJmhzw
canidae,canis,wolf,eat,CPjO-c_XuQo
canidae,canis,wolf,eat,6jW-PdZt0iY
canidae,canis,wolf,eat,vxvHYawDMDo
canidae,canis,wolf,eat,_bWO6gHfEKc
canidae,canis,wolf,eat,fSDYbNngXUk
canidae,canis,wolf,eat,uMGh86DXAcA
canidae,canis,wolf,eat,Ezni5blhg0o
canidae,canis,wolf,nurse,iUFG7_t5kmU
canidae,canis,wolf,fight,ihcHLbgaWbg
canidae,canis,wolf,fight,eMUVu6J1qRU
canidae,canis,wolf,fight,fGpamcNFSTU
canidae,canis,wolf,fight,S_zD4N2NqWQ
canidae,canis,wolf,fight,pHtRCDjMrL8
canidae,canis,wolf,birth,BUTZQ0SaJT0
canidae,canis,wolf,birth,pOioi8OghsM
canidae,canis,wolf,drink,bIQv3-0-InY
canidae,canis,wolf,mate,Yo3aEunJ6WE
canidae,canis,eskimo dog,eat,vxvHYawDMDo
canidae,canis,malamute,eat,XW51r5Br_lc
canidae,canis,malamute,drink,GB7I81ensTQ
canidae,urocyon,gray fox,eat,_psfJYMY2ME
canidae,urocyon,gray fox,eat,qeqhXvE5aPY
canidae,urocyon,gray fox,eat,hFbhyHwVg6Q
canidae,fox,fox,hunt,NlISHyFbTIA
canidae,fox,fox,hunt,tEYCjJqr21A
canidae,fox,fox,hunt,getzLS8uxZs
canidae,fox,fox,hunt,v3jbM_baHb4
canidae,fox,fox,eat,GEETYPAo5IQ
canidae,fox,fox,eat,wSuiz6fTjYQ
canidae,fox,fox,eat,Bn0Vxjd79g8
canidae,fox,fox,eat,oR3EwgQMIQg
canidae,fox,fox,eat,zeApvbS6064
canidae,fox,fox,eat,A_9j8nvV6Zc
canidae,fox,fox,eat,9sE1fLrCBBs
canidae,fox,fox,eat,_KLKQpwJUcg
canidae,fox,fox,eat,g0EZOp0lFmg
canidae,fox,fox,eat,0RfgWUZivKM
canidae,fox,fox,eat,n4ezyVRgzCk
canidae,fox,fox,eat,fh_xQmBKUB0
canidae,fox,fox,eat,34oDYXILXgo
canidae,fox,fox,eat,OyEAB-QieS8
canidae,fox,fox,eat,DbYYV4HQ0c0
canidae,fox,fox,eat,Gi1qG-RlJmA
canidae,fox,fox,eat,fo1mkQ5zaSA
canidae,fox,fox,eat,ZC8e-CEfsH4
canidae,fox,fox,eat,_psfJYMY2ME
canidae,fox,fox,eat,d-RAYBKwWZ8
canidae,fox,fox,eat,unjD0OkdfTM
canidae,fox,fox,eat,P4YX7DebA44
canidae,fox,fox,eat,w1lec-a_40Y
canidae,fox,fox,eat,6jW-PdZt0iY
canidae,fox,fox,eat,L1ULMMDdxTI
canidae,fox,fox,eat,DyUbWIHVitg
canidae,fox,fox,eat,b_8ZmxeF8Wo
canidae,fox,fox,eat,BB9tor8nPSU
canidae,fox,fox,eat,T_ECL3fn1Pw
canidae,fox,fox,eat,HR8Vs4HylBU
canidae,fox,fox,eat,aX0OkhD87KU
canidae,fox,fox,eat,6hGlHxYXgQI
canidae,fox,fox,eat,WmctHWPP_dg
canidae,fox,fox,eat,r_-E9KqJmT4
canidae,fox,fox,eat,K8r9LRqqMtg
canidae,fox,fox,eat,m5pujvbC4Fc
canidae,fox,fox,eat,_LP8G1auL7c
canidae,fox,fox,eat,Lsp6zG-gDAY
canidae,fox,fox,eat,qufYsoJd8Zo
canidae,fox,fox,eat,rfNiBFACjJ0
canidae,fox,fox,eat,dJr3DmmoxSw
canidae,fox,fox,eat,qgIRXXkNzhE
canidae,fox,fox,eat,qeqhXvE5aPY
canidae,fox,fox,eat,i-4_ZODOGXw
canidae,fox,fox,eat,-YY9ldLfdc0
canidae,fox,fox,eat,zxNp6MMVXUU
canidae,fox,fox,eat,XsdUzpnvN9o
canidae,fox,fox,eat,kS2Dp03Y4qY
canidae,fox,fox,eat,YGgsDx0AJzQ
canidae,fox,fox,eat,xk5JyH6VQDE
canidae,fox,fox,eat,jtPzgnDd_YE
canidae,fox,fox,eat,k5bkZf2gPco
canidae,fox,fox,eat,20JgTCYOz0c
canidae,fox,fox,eat,YWHW_Q9oQOE
canidae,fox,fox,eat,-aGsazj7o40
canidae,fox,fox,eat,ow0rXt97z9E
canidae,fox,fox,eat,J-56P66Vu_Y
canidae,fox,fox,eat,YUsZIMcoHUQ
canidae,fox,fox,eat,1Mw8q3A-WIk
canidae,fox,fox,eat,NrXN9ddsruI
canidae,fox,fox,eat,LQTn3eWKYac
canidae,fox,fox,eat,P62A92rrqlI
canidae,fox,fox,eat,GM7GzMzUlgc
canidae,fox,fox,eat,4RWTRydDIMM
canidae,fox,fox,eat,7K9Gk-NtLhI
canidae,fox,fox,eat,6Vpko4445Ik
canidae,fox,fox,eat,xnarDfTTIL8
canidae,fox,fox,eat,4rSewJnqQfQ
canidae,fox,fox,eat,dglKJ2woZ9w
canidae,fox,fox,eat,rPmhHJYCKos
canidae,fox,fox,eat,Ezni5blhg0o
canidae,fox,fox,eat,DMBP5BFd8pE
canidae,fox,fox,eat,PqoLVAVyqC4
canidae,fox,fox,eat,8xgEZe51ohk
canidae,fox,fox,eat,r-cFQSk_eFg
canidae,fox,fox,eat,cNbXlWLYfMc
canidae,fox,fox,eat,qVBDBH--ZtE
canidae,fox,fox,eat,_VyjOee-Cmk
canidae,fox,fox,eat,tuYQSnbd8Us
canidae,fox,fox,eat,TtSZMFArTZU
canidae,fox,fox,eat,nXdRsbGwIpg
canidae,fox,fox,eat,2Fhn7OyW1zY
canidae,fox,fox,eat,mSflRbBMu_M
canidae,fox,fox,eat,VQyeROwHKMk
canidae,fox,fox,eat,OIFk4WI-5G4
canidae,fox,fox,eat,9GFoNSXsvTY
canidae,fox,fox,eat,s9KvEg102Tc
canidae,fox,fox,eat,Mzlibb_Bk7w
canidae,fox,fox,eat,nnyaNATWHeg
canidae,fox,fox,eat,TqPdeylM09E
canidae,fox,fox,eat,pbcD-cuobSE
canidae,fox,fox,eat,uMGh86DXAcA
canidae,fox,fox,eat,kuo6VfQ0U-Y
canidae,fox,fox,eat,Wpuk3Jz2NcE
canidae,fox,fox,eat,3-sqWc-7lvY
canidae,fox,fox,eat,tKhWW1jK7vo
canidae,fox,fox,eat,l1Tou6LtEIE
canidae,fox,fox,eat,NQ1ARoG2blA
canidae,fox,fox,eat,efrTgJeFX94
canidae,fox,fox,eat,4UHXfOtnKeY
canidae,fox,fox,eat,T0BFnkWVdmg
canidae,fox,fox,eat,pDpGRJomx0I
canidae,fox,fox,eat,eDSHtp1fOKo
canidae,fox,fox,eat,4ChXHRUjVRw
canidae,fox,fox,eat,_Ml56eYO8Bo
canidae,fox,fox,eat,KS8E3Pztqmk
canidae,fox,fox,eat,-80hb15CHis
canidae,fox,fox,eat,8lXwWnA1mG8
canidae,fox,fox,eat,hFbhyHwVg6Q
canidae,fox,fox,eat,TGv6pP6lo0Q
canidae,fox,fox,eat,EMBO625ZlK8
canidae,fox,fox,eat,yPDkNi6B8JA
canidae,fox,fox,eat,vebS3__bEKM
canidae,fox,fox,eat,4ePwSzTdYxs
canidae,fox,fox,eat,OpGeK0fkxL4
canidae,fox,fox,eat,TLcrvKsgh3Q
canidae,fox,fox,eat,s0QFE-hxgI8
canidae,fox,fox,drink,vWpa7PuX0p4
canidae,fox,fox,drink,PjKr5rUYthE
canidae,lycaon,african wild dog,hunt,FvohbDvqwVE
canidae,lycaon,african wild dog,hunt,LbHKFeu1g8Y
canidae,lycaon,african wild dog,hunt,TVjMi3nsclQ
canidae,lycaon,african wild dog,eat,kZKX-cV0QIM
canidae,lycaon,african wild dog,eat,3azwSun1KhM
canidae,lycaon,african wild dog,eat,pqRBeurmCNQ
canidae,lycaon,african wild dog,eat,CSrqCUdRKjg
canidae,lycaon,african wild dog,eat,jztbUlGJkec
canidae,lycaon,african wild dog,eat,TqPdeylM09E
canidae,lycaon,african wild dog,eat,HAoYiG-WFjI
canidae,lycaon,african wild dog,eat,82kQTkWnKwg
canidae,lycaon,african wild dog,eat,J9aCSpHdA04
canidae,vulpes,red fox,mate,YPnZ4stsVrw
canidae,vulpes,red fox,hunt,7pgKBlZFPSA
canidae,vulpes,red fox,eat,Bn0Vxjd79g8
canidae,vulpes,red fox,eat,fo1mkQ5zaSA
canidae,vulpes,red fox,eat,ZC8e-CEfsH4
canidae,vulpes,red fox,eat,w1lec-a_40Y
canidae,vulpes,red fox,eat,qufYsoJd8Zo
canidae,vulpes,red fox,eat,xk5JyH6VQDE
canidae,vulpes,red fox,eat,GM7GzMzUlgc
canidae,vulpes,red fox,eat,qVBDBH--ZtE
canidae,vulpes,red fox,eat,OIFk4WI-5G4
canidae,vulpes,red fox,eat,Mzlibb_Bk7w
canidae,vulpes,red fox,eat,nnyaNATWHeg
canidae,vulpes,red fox,eat,_Ml56eYO8Bo
canidae,vulpes,fennec fox,eat,_VyjOee-Cmk
canidae,vulpes,arctic fox,eat,_KLKQpwJUcg
canidae,vulpes,arctic fox,eat,qufYsoJd8Zo
canidae,vulpes,arctic fox,eat,rfNiBFACjJ0
canidae,vulpes,arctic fox,eat,dJr3DmmoxSw
canidae,vulpes,arctic fox,eat,20JgTCYOz0c
canidae,vulpes,arctic fox,eat,dglKJ2woZ9w
canidae,vulpes,arctic fox,eat,mSflRbBMu_M
canidae,vulpes,arctic fox,eat,4ChXHRUjVRw
canidae,vulpes,arctic fox,eat,s0QFE-hxgI8
canidae,vulpes,arctic fox,hunt,52fuxKM2uBY
canidae,nyctereutes,raccoon dog,eat,0nZwErVNvy8
ursidae,tremarctos,andean bear,eat,DU3raWIpxw8
ursidae,tremarctos,andean bear,eat,kYPQYSzLPN4
ursidae,tremarctos,andean bear,eat,u6CeNRh-XaM
ursidae,ursus,moon bear,eat,HsqidmpF0b0
ursidae,ursus,moon bear,eat,JAEPO9tI1bE
ursidae,ursus,black bear,mate,0d-chyxdDjk
ursidae,ursus,black bear,mate,JFYi3t5wp6s
ursidae,ursus,black bear,fight,soe-mONHGMc
ursidae,ursus,black bear,fight,M0dcBu145LU
ursidae,ursus,black bear,fight,RBpljUzL364
ursidae,ursus,black bear,fight,6HgwdL_jcE8
ursidae,ursus,black bear,hunt,PZ900Zbndd4
ursidae,ursus,black bear,hunt,wYypDwNAPGw
ursidae,ursus,black bear,hunt,uavxDQxti9c
ursidae,ursus,black bear,hunt,NFacd2Q4G3Q
ursidae,ursus,black bear,hunt,WJDQkZH10uo
ursidae,ursus,black bear,hunt,MLssJqvLjIs
ursidae,ursus,black bear,hunt,Lqbyx-YjNi4
ursidae,ursus,black bear,hunt,RyWInXE6lxw
ursidae,ursus,black bear,hunt,4_D08ndTby4
ursidae,ursus,black bear,hunt,wlQwJWQAQ2o
ursidae,ursus,black bear,hunt,sW9Jw8JruB0
ursidae,ursus,black bear,hunt,AgMlCdvY5RI
ursidae,ursus,black bear,eat,HCP484LWsj8
ursidae,ursus,black bear,eat,3GGmVPNgTjw
ursidae,ursus,black bear,eat,4RWTRydDIMM
ursidae,ursus,black bear,eat,2elItDMgozg
ursidae,ursus,black bear,eat,07uy6vqD0Vo
ursidae,ursus,black bear,eat,1HPz5lCkbfw
ursidae,ursus,black bear,eat,1Mw8q3A-WIk
ursidae,ursus,black bear,eat,HsqidmpF0b0
ursidae,ursus,black bear,eat,_btsSjYpa9E
ursidae,ursus,black bear,eat,FcgNP0NS-Go
ursidae,ursus,black bear,eat,MTcbqzYIqpk
ursidae,ursus,black bear,eat,Ol_h2BYQueQ
ursidae,ursus,black bear,eat,eEaZvEZye84
ursidae,ursus,black bear,eat,PqoLVAVyqC4
ursidae,ursus,black bear,eat,TEbp8iB8N6Y
ursidae,ursus,black bear,eat,evKSi9u_jWw
ursidae,ursus,black bear,eat,RTM5gUpbRVI
ursidae,ursus,black bear,eat,uGA5CuD4Lfg
ursidae,ursus,black bear,eat,aDbIAy9sMHk
ursidae,ursus,black bear,eat,GHsuP2yVPww
ursidae,ursus,black bear,eat,r3f80LSZvwc
ursidae,ursus,black bear,eat,DSgPX0xcmM0
ursidae,ursus,black bear,eat,GEvCMbC5w9Y
ursidae,ursus,black bear,eat,Wp5xfu7-fAo
ursidae,ursus,black bear,nurse,hcQDiIG_dJI
ursidae,ursus,black bear,sleep,SEoCMlQhQc4
ursidae,ursus,black bear,birth,IpT1u2lFkXs
ursidae,ursus,grizzly,mate,LM29YpVkQp4
ursidae,ursus,grizzly,mate,xZL4_xFRCDQ
ursidae,ursus,grizzly,mate,KhVEm5ak-xs
ursidae,ursus,grizzly,mate,6YVAx58KU38
ursidae,ursus,grizzly,mate,cxTJ0IR7AIg
ursidae,ursus,grizzly,fight,TSSPDwAQLXs
ursidae,ursus,grizzly,fight,grULSnxLmUc
ursidae,ursus,grizzly,fight,biaKjVgaDHM
ursidae,ursus,grizzly,hunt,t1RegY_Y8u0
ursidae,ursus,grizzly,hunt,8sO3XJY1hro
ursidae,ursus,grizzly,hunt,9_TA4Zfo1rQ
ursidae,ursus,grizzly,hunt,767BWjKzXfc
ursidae,ursus,grizzly,hunt,dPQ2QEhZTJ8
ursidae,ursus,grizzly,hunt,JqHWqZ26Ou0
ursidae,ursus,grizzly,hunt,-kR2bfczezo
ursidae,ursus,grizzly,hunt,mhUAHZx4xJc
ursidae,ursus,grizzly,hunt,N0BHMX3IPyY
ursidae,ursus,grizzly,hunt,s-dQ_hkEotE
ursidae,ursus,grizzly,eat,AnafQ3fVUXs
ursidae,ursus,grizzly,eat,uHyYtcMZYGs
ursidae,ursus,grizzly,eat,HCP484LWsj8
ursidae,ursus,grizzly,eat,7L7LVGM3i8Q
ursidae,ursus,grizzly,eat,07uy6vqD0Vo
ursidae,ursus,grizzly,eat,Ge0xHkgL1zs
ursidae,ursus,grizzly,eat,fpSxmrANKe4
ursidae,ursus,grizzly,eat,1TFmzppww4k
ursidae,ursus,grizzly,eat,r30YQyplCJs
ursidae,ursus,grizzly,eat,1Mw8q3A-WIk
ursidae,ursus,grizzly,eat,EMBO625ZlK8
ursidae,ursus,grizzly,eat,qdhrfwZX2iA
ursidae,ursus,grizzly,eat,hau0nJMtvaw
ursidae,ursus,grizzly,eat,a-FwbFjnYds
ursidae,ursus,grizzly,eat,ZC8e-CEfsH4
ursidae,ursus,grizzly,eat,5EAQxnIHUCU
ursidae,ursus,grizzly,eat,PIFVNSV8IVM
ursidae,ursus,grizzly,eat,HCU0KuREl40
ursidae,ursus,grizzly,eat,130uqjizMTc
ursidae,ursus,grizzly,eat,MTcbqzYIqpk
ursidae,ursus,grizzly,eat,fhSSHYYb3gk
ursidae,ursus,grizzly,eat,qAG2SkTPltw
